,address_type,agency,agency_name,borough,bridge_highway_direction,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,location_type,park_borough,park_facility_name,resolution_action_updated_date,school_address,school_city,school_code,school_name,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,unique_key
1322,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,,Unspecified BROOKLYN,Street Condition,2006-01-31T00:00:00.000,CONEY ISLAND AVENUE,EAST 11 STREET,Wear & Tear,,N/A, SHORE PARKWAY,,,,,,BROOKLYN,Unspecified,2006-02-07T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,SHORE PARKWAY,3517561
1323,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-03-02T00:00:00.000,Unspecified QUEENS,Street Condition,2006-03-01T00:00:00.000,,,Pothole,,N/A,,,PARSONS BLVD,45 AVE,,,QUEENS,Unspecified,2006-03-02T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3594562
1324,INTERSECTION,DOT,Department of Transportation,BRONX,,,2006-04-19T00:00:00.000,Unspecified BRONX,Street Condition,2006-04-11T00:00:00.000,,,Pothole,,N/A,,,W 227 ST,HENRY HUDSON PKWY,,,BRONX,Unspecified,2006-04-19T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3640323
1325,BLOCKFACE,DOT,Department of Transportation,QUEENS,,HOWARD BEACH,2006-02-22T00:00:00.000,10 QUEENS,Street Condition,2006-02-21T00:00:00.000,156 AVENUE,157 AVENUE,Pothole,,N/A, 84 STREET,11414,,,,,QUEENS,Unspecified,2006-02-22T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,84 STREET,3592997
1326,INTERSECTION,DOT,Department of Transportation,BRONX,,,2006-11-02T00:00:00.000,Unspecified BRONX,Street Condition,2006-10-26T00:00:00.000,,,Pothole,,N/A,,,EDWARD L GRANT HIGHWAY,WEST 170 STREET,,,BRONX,Unspecified,2006-11-02T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3642346
1327,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-02-17T00:00:00.000,Unspecified QUEENS,Street Condition,2006-02-16T00:00:00.000,,,Pothole,,N/A,,,77 AVENUE,79 PLACE,,,QUEENS,Unspecified,2006-02-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3587455
1328,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2006-08-03T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-07-31T00:00:00.000,CATON AVENUE,CHURCH AVENUE,Pothole,,N/A, OCEAN PARKWAY,,,,,,BROOKLYN,Unspecified,2006-08-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,OCEAN PARKWAY,3523673
1329,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2006-12-27T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-12-25T00:00:00.000,,,Pothole,,N/A,,,BROADWAY,HALSEY STREET,,,BROOKLYN,Unspecified,2006-12-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3524640
1330,INTERSECTION,DOT,Department of Transportation,BRONX,,,2006-12-27T00:00:00.000,Unspecified BRONX,Street Condition,2006-12-27T00:00:00.000,,,Pothole,,N/A,,,WEBSTER AVE,CROSS BRONX EXPWY,,,BRONX,Unspecified,2006-12-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3640657
1331,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-02-22T00:00:00.000,Unspecified QUEENS,Street Condition,2006-02-21T00:00:00.000,,,Pothole,,N/A,,,CROSS BAY BOULEVARD,SHORE PARKWAY,,,QUEENS,Unspecified,2006-02-22T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3593000
1332,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-05-19T00:00:00.000,Unspecified QUEENS,Street Condition,2006-05-03T00:00:00.000,,,Pothole,,N/A,,,45 STREET,ASTORIA BOULEVARD,,,QUEENS,Unspecified,2006-05-19T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3594868
1333,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-02-18T00:00:00.000,Unspecified QUEENS,Street Condition,2006-02-17T00:00:00.000,,,Pothole,,N/A,,,244 STREET,CROSS ISLAND PARKWAY,,,QUEENS,Unspecified,2006-02-18T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3590739
1334,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-06-08T00:00:00.000,Unspecified QUEENS,Street Condition,2006-06-08T00:00:00.000,,,Pothole,,N/A,,,48 STREET,54 ROAD,,,QUEENS,Unspecified,2006-06-08T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3596565
1335,BLOCKFACE,DOT,Department of Transportation,Unspecified,,QUEENS,,0 Unspecified,Street Condition,2006-05-26T00:00:00.000,INTERBORO PARKWAY ENTRANCE EB,UNION TURNPIKE,Pothole,,N/A, INTERBOROUGH PARKWAY,,,,,,Unspecified,Unspecified,2006-06-05T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,INTERBOROUGH PARKWAY,3590760
1336,INTERSECTION,DOT,Department of Transportation,QUEENS,,,,Unspecified QUEENS,Street Condition,2006-01-23T00:00:00.000,,,Wear & Tear,,N/A,,,135 AVENUE,222 STREET,,,QUEENS,Unspecified,2006-01-24T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,,3578393
1337,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-03-05T00:00:00.000,Unspecified QUEENS,Street Condition,2006-03-04T00:00:00.000,,,Pothole,,N/A,,,230 STREET,HORACE HARDING EXPRESSWAY,,,QUEENS,Unspecified,2006-03-05T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3594653
1338,ADDRESS,DOT,Department of Transportation,QUEENS,,,2006-01-03T00:00:00.000,Unspecified QUEENS,Street Condition,2006-01-02T00:00:00.000,CHRISTIE AVENUE,55 AVENUE,Pothole,,N/A,51-11 POWER ROAD,,,,,,QUEENS,Unspecified,2006-01-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,POWER ROAD,3585440
1339,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,,2006-03-08T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2006-03-07T00:00:00.000,,,Pothole,,N/A,,,BEVERLY ROAD,STEUBEN STREET,,,STATEN ISLAND,Unspecified,2006-03-08T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3603576
1340,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,,2006-01-24T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2006-01-23T00:00:00.000,,,Pothole,,N/A,,,AMBOY ROAD,BREHAUT AVENUE,,,STATEN ISLAND,Unspecified,2006-01-24T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3601230
1341,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-03-15T00:00:00.000,Unspecified QUEENS,Street Condition,2006-03-13T00:00:00.000,,,Pothole,,N/A,,,5 STREET,BORDEN AVENUE,,,QUEENS,Unspecified,2006-03-15T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3591369
1342,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2006-12-27T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-12-26T00:00:00.000,NYCTA SUBWAY,SHORE PARKWAY,Pothole,,N/A, SHELL ROAD,,,,,,BROOKLYN,Unspecified,2006-12-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,SHELL ROAD,3524642
1343,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,,2006-03-05T00:00:00.000,Unspecified MANHATTAN,Street Condition,2006-02-26T00:00:00.000,,,Pothole,,N/A,,,FULTON STREET,WATER STREET,,,MANHATTAN,Unspecified,2006-03-05T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3544934
1344,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2006-03-06T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-03-06T00:00:00.000,SCHENECTADY AVENUE,UTICA AVENUE,Pothole,,N/A, ATLANTIC AVENUE,,,,,,BROOKLYN,Unspecified,2006-03-06T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,ATLANTIC AVENUE,3515950
1345,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-08-21T00:00:00.000,Unspecified QUEENS,Street Condition,2006-08-20T00:00:00.000,,,Pothole,,N/A,,,28 STREET,QUEENS PLAZA NORTH,,,QUEENS,Unspecified,2006-08-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3591889
1346,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-03-15T00:00:00.000,Unspecified QUEENS,Street Condition,2006-03-13T00:00:00.000,,,Pothole,,N/A,,,122 AVENUE,LAKEVIEW BLVD EAST,,,QUEENS,Unspecified,2006-03-15T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3591370
1347,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2006-12-26T00:00:00.000,05 BROOKLYN,Street Condition,2006-12-25T00:00:00.000,PENNSYLVANIA AVENUE,SHEFFIELD AVENUE,Pothole,,N/A, LINDEN BOULEVARD,11207,,,,,BROOKLYN,Unspecified,2006-12-26T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,LINDEN BOULEVARD,3525594
1348,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,NEW YORK,2006-02-20T00:00:00.000,03 MANHATTAN,Street Condition,2006-02-19T00:00:00.000,EAST 9 STREET,EAST 10 STREET,Pothole,,N/A, STUYVESANT STREET,10003,,,,,MANHATTAN,Unspecified,2006-02-20T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,STUYVESANT STREET,3545645
1349,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2006-05-10T00:00:00.000,18 BROOKLYN,Street Condition,2006-05-06T00:00:00.000,FOSTER AVENUE,GLENWOOD ROAD,Pothole,,N/A, EAST 53 STREET,11234,,,,,BROOKLYN,Unspecified,2006-05-10T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,EAST 53 STREET,3520114
1350,BLOCKFACE,DOT,Department of Transportation,BRONX,,BRONX,2006-09-21T00:00:00.000,12 BRONX,Street Condition,2006-09-21T00:00:00.000,CONNER STREET,NOELL AVENUE,Pothole,,N/A, BOSTON ROAD,10466,,,,,BRONX,Unspecified,2006-09-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,BOSTON ROAD,3643064
1351,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,,2006-09-06T00:00:00.000,Unspecified MANHATTAN,Street Condition,2006-09-04T00:00:00.000,BROADWAY,LAFAYETTE STREET,Pothole,,N/A, GREAT JONES STREET,,,,,,MANHATTAN,Unspecified,2006-09-06T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,GREAT JONES STREET,3548256
1352,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,NEW YORK,2006-02-22T00:00:00.000,07 MANHATTAN,Street Condition,2006-02-21T00:00:00.000,AMSTERDAM AVENUE,BROADWAY,Pothole,,N/A, WEST 99 STREET,10025,,,,,MANHATTAN,Unspecified,2006-02-22T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,WEST 99 STREET,3545690
1353,BLOCKFACE,DOT,Department of Transportation,QUEENS,,,2006-03-14T00:00:00.000,Unspecified QUEENS,Street Condition,2006-03-02T00:00:00.000,114 STREET,126 STREET,Pothole,,N/A, ROOSEVELT AVENUE,,,,,,QUEENS,Unspecified,2006-03-14T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,ROOSEVELT AVENUE,3573570
1354,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-01-31T00:00:00.000,Unspecified QUEENS,Street Condition,2006-01-30T00:00:00.000,,,Pothole,,N/A,,,HORACE HARDING EXPRESSWAY,SPRINGFIELD BOULEVARD,,,QUEENS,Unspecified,2006-01-31T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3583123
1355,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-01-31T00:00:00.000,Unspecified QUEENS,Street Condition,2006-01-30T00:00:00.000,,,Pothole,,N/A,,,SPRINGFIELD BOULEVARD,HORACE HARDING EXPRESSWAY,,,QUEENS,Unspecified,2006-01-31T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3583125
1356,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,,Unspecified BROOKLYN,Street Condition,2006-04-09T00:00:00.000,,,Wear & Tear,,N/A,,,7 AVENUE,BAY RIDGE PARKWAY,,,BROOKLYN,Unspecified,2006-05-05T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,,3512378
1357,BLOCKFACE,DOT,Department of Transportation,Unspecified,,NEW YORK,2006-05-24T00:00:00.000,0 Unspecified,Street Condition,2006-05-23T00:00:00.000,CENTRAL PARK WEST,C P WEST 96 APPROACH,Pothole,,N/A, TRANSVERSE ROAD 4,,,,,,Unspecified,Unspecified,2006-05-24T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,TRANSVERSE ROAD 4,3548669
1358,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,NEW YORK,,12 MANHATTAN,Street Condition,2006-04-11T00:00:00.000,WEST 178 STREET,TRANSMANHATTAN EXPRESSWAY,Wear & Tear,,N/A, BROADWAY,10033,,,,,MANHATTAN,Unspecified,2006-04-11T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,BROADWAY,3549471
1359,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-01-11T00:00:00.000,Unspecified QUEENS,Street Condition,2006-01-04T00:00:00.000,,,Pothole,,N/A,,,28 AVENUE,50 STREET,,,QUEENS,Unspecified,2006-01-11T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3585441
1360,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-06-30T00:00:00.000,Unspecified QUEENS,Street Condition,2006-06-29T00:00:00.000,,,Pothole,,N/A,,,32 AVENUE,COLLEGE POINT BOULEVARD,,,QUEENS,Unspecified,2006-06-30T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3586388
1361,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-06-15T00:00:00.000,Unspecified QUEENS,Street Condition,2006-06-14T00:00:00.000,,,Pothole,,N/A,,,ROCKAWAY BLVD,146 ST,,,QUEENS,Unspecified,2006-06-15T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3591601
1362,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-06-15T00:00:00.000,Unspecified QUEENS,Street Condition,2006-06-14T00:00:00.000,,,Pothole,,N/A,,,147 STREET,ROCKAWAY BOULEVARD,,,QUEENS,Unspecified,2006-06-15T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3591602
1363,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-03-21T00:00:00.000,Unspecified QUEENS,Street Condition,2006-03-20T00:00:00.000,,,Pothole,,N/A,,,107 AVENUE,VAN WYCK EXPRESSWAY,,,QUEENS,Unspecified,2006-03-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3592196
1364,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,,2006-04-24T00:00:00.000,Unspecified MANHATTAN,Street Condition,2006-04-05T00:00:00.000,,,Pothole,,N/A,,,HARLEM RIVER DRIVE,8 AVENUE,,,MANHATTAN,Unspecified,2006-04-24T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3547422
1365,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-02-18T00:00:00.000,Unspecified QUEENS,Street Condition,2006-02-17T00:00:00.000,,,Pothole,,N/A,,,BELL BOULEVARD,CROSS ISLAND PARKWAY,,,QUEENS,Unspecified,2006-02-18T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3595492
1366,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,,2006-05-15T00:00:00.000,Unspecified MANHATTAN,Street Condition,2006-05-14T00:00:00.000,,,Pothole,,N/A,,,F D R DRIVE,MONTGOMERY STREET,,,MANHATTAN,Unspecified,2006-05-15T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3553120
1367,BLOCKFACE,DOT,Department of Transportation,QUEENS,,FLUSHING,2006-01-06T00:00:00.000,07 QUEENS,Street Condition,2006-01-05T00:00:00.000,168 STREET,169 STREET,Pothole,,N/A, 26 AVENUE,11358,,,,,QUEENS,Unspecified,2006-01-06T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,26 AVENUE,3585497
1368,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-03-22T00:00:00.000,Unspecified QUEENS,Street Condition,2006-03-21T00:00:00.000,,,Pothole,,N/A,,,PARK LANE,UNION TURNPIKE,,,QUEENS,Unspecified,2006-03-22T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3587392
1369,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,,2006-01-03T00:00:00.000,Unspecified MANHATTAN,Street Condition,2006-01-02T00:00:00.000,,,Pothole,,N/A,,,PIKE STREET,EAST BROADWAY,,,MANHATTAN,Unspecified,2006-01-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3545570
1370,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-04-10T00:00:00.000,Unspecified QUEENS,Street Condition,2006-04-09T00:00:00.000,,,Pothole,,N/A,,,CENTRAL AVENUE,VIRGINIA STREET,,,QUEENS,Unspecified,2006-04-10T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3596461
1371,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2006-06-23T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-06-15T00:00:00.000,,,Pothole,,N/A,,,15 AVENUE,RAMP,,,BROOKLYN,Unspecified,2006-06-23T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3520860
1372,INTERSECTION,DOT,Department of Transportation,QUEENS,,,,Unspecified QUEENS,Street Condition,2006-04-22T00:00:00.000,,,Pothole,,N/A,,,68 ROAD,YELLOWSTONE BOULEVARD,,,QUEENS,Unspecified,2006-04-28T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,,3598281
1373,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,,2006-01-03T00:00:00.000,Unspecified MANHATTAN,Street Condition,2006-01-02T00:00:00.000,,,Pothole,,N/A,,,CANAL ST,ALLEN ST,,,MANHATTAN,Unspecified,2006-01-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3545571
1374,BLOCKFACE,DOT,Department of Transportation,QUEENS,,,2006-09-25T00:00:00.000,Unspecified QUEENS,Street Condition,2006-09-15T00:00:00.000,LITTLE NECK PARKWAY,267 STREET,Pothole,,N/A, GRAND CENTRAL PARKWAY E SVC RD,,,,,,QUEENS,Unspecified,2006-09-25T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,GRAND CENTRAL PARKWAY E SVC RD,3592652
1375,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-06-06T00:00:00.000,Unspecified QUEENS,Street Condition,2006-06-05T00:00:00.000,,,Pothole,,N/A,,,64 AVENUE,188 STREET,,,QUEENS,Unspecified,2006-06-06T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3596518
1376,BLOCKFACE,DOT,Department of Transportation,QUEENS,,JACKSON HEIGHTS,,03 QUEENS,Street Condition,2006-08-18T00:00:00.000,34 AVENUE,NORTHERN BOULEVARD,Hummock,,N/A, 93 STREET,11372,,,,,QUEENS,Unspecified,2006-08-19T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,93 STREET,3591864
1377,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,NEW YORK,2006-04-19T00:00:00.000,02 MANHATTAN,Street Condition,2006-04-18T00:00:00.000,BLEECKER STREET,WEST HOUSTON STREET,Pothole,,N/A, 6 AVENUE,10014,,,,,MANHATTAN,Unspecified,2006-04-19T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,6 AVENUE,3547480
1378,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,NEW YORK,2006-09-12T00:00:00.000,05 MANHATTAN,Street Condition,2006-09-11T00:00:00.000,LEXINGTON AVENUE,PARK AVENUE,Pothole,,N/A, EAST 49 STREET,10017,,,,,MANHATTAN,Unspecified,2006-09-12T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,EAST 49 STREET,3549301
1379,INTERSECTION,DOT,Department of Transportation,BRONX,,,2006-07-17T00:00:00.000,Unspecified BRONX,Street Condition,2006-07-16T00:00:00.000,,,Pothole,,N/A,,,CROSS BRONX EXPRESSWAY,GLEASON AVENUE,,,BRONX,Unspecified,2006-07-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3642119
1380,BLOCKFACE,DOT,Department of Transportation,QUEENS,,FLUSHING,2006-01-07T00:00:00.000,08 QUEENS,Street Condition,2006-01-05T00:00:00.000,147 STREET,MAIN STREET,Pothole,,N/A, MELBOURNE AVENUE,11367,,,,,QUEENS,Unspecified,2006-01-07T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,MELBOURNE AVENUE,3577376
1381,BLOCKFACE,DOT,Department of Transportation,QUEENS,,FOREST HILLS,2006-06-13T00:00:00.000,06 QUEENS,Street Condition,2006-06-12T00:00:00.000,75 ROAD,J ROBINSON PARKWAY ENTRANCE WB,Pothole,,N/A, UNION TURNPIKE,11375,,,,,QUEENS,Unspecified,2006-06-13T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,UNION TURNPIKE,3594787
1382,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2006-04-06T00:00:00.000,05 BROOKLYN,Street Condition,2006-04-05T00:00:00.000,PENNSYLVANIA AVENUE,SHEFFIELD AVENUE,Pothole,,N/A, COZINE AVENUE,11207,,,,,BROOKLYN,Unspecified,2006-04-06T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,COZINE AVENUE,3513365
1383,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-01-18T00:00:00.000,Unspecified QUEENS,Street Condition,2006-01-10T00:00:00.000,,,Pothole,,N/A,,,26 AVENUE,206 STREET,,,QUEENS,Unspecified,2006-01-18T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3578239
1384,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2006-01-13T00:00:00.000,Unspecified QUEENS,Street Condition,2006-01-10T00:00:00.000,,,Pothole,,N/A,,,145 AVENUE,HOOK CREEK BOULEVARD,,,QUEENS,Unspecified,2006-01-13T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3578240
1385,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2006-03-23T00:00:00.000,Unspecified BROOKLYN,Street Condition,2006-03-14T00:00:00.000,,,Pothole,,N/A,,,EAST 13 STREET,SHORE PARKWAY,,,BROOKLYN,Unspecified,2006-03-23T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3514350
